"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
"       (2019 JG1)",1.32,0.3113,3.32,221.95,69.57,0.909,1.73,1.52,15,3,58,1,2,26.61,,,,,,,,,,
"       (2019 JJ3)",1.9,0.4980,5.90,48.73,213.10,0.954,2.85,2.62,1,5,15,1,1,27.50,,,,,,,,,,
"       (2019 KW)",0.936,0.2221,8.46,240.04,235.10,0.728,1.14,0.906,8,5,39,,,26.87,,,,,,,,,,
"       (2019 LB1)",0.9903,0.1184,5.42,74.34,63.51,0.873,1.11,0.985,5,5,61,,,27.00,,,,,,,,,,
"       (2019 LB2)",1.277,0.2036,1.29,223.52,57.91,1.017,1.54,1.44,36,5,31,,,27.05,,,,,,,,,,
"       (2019 NX1)",2.578,0.6064,3.28,280.01,14.22,1.015,4.14,4.14,4,4,61,0,1,27.70,,,,,,,,,,
"       (2019 PO1)",1.036,0.0611,1.12,328.25,250.35,0.973,1.10,1.05,47,4,55,,,27.80,,,,,,,,,,
"       (2019 SU3)",1.12,0.1085,1.29,3.25,332.34,0.999,1.24,1.19,30,1,170,1,1,27.27,,,,,,,,,,
"       (2019 SD8)",1.761,0.5027,3.72,5.24,54.51,0.876,2.65,2.34,9,5,62,1,1,27.40,,,,,,,,,,
"       (2019 SE8)",2.039,0.7481,2.53,193.58,272.44,0.514,3.56,2.91,1,5,33,0,1,26.94,,,,,,,,,,
"       (2019 TW)",1.343,0.2467,2.38,183.88,183.63,1.012,1.67,1.56,37,5,41,,,27.78,,,,,,,,,,
"       (2019 TK5)",1.02,0.2002,1.50,214.83,264.57,0.816,1.22,1.03,1324,2,43,,,27.46,,,,,,,,,,
"       (2019 UH7)",1.588,0.3684,6.28,32.49,22.26,1.003,2.17,2,1471,0,41,,,27.46,,,,,,,,,,
"       (2019 UT7)",2.422,0.5990,5.91,33.85,335.68,0.972,3.87,3.77,9,5,82,0,1,26.80,,,,,,,,,,
"       (2019 UM9)",0.9861,0.1550,12.36,33.17,104.75,0.833,1.14,0.979,2,5,81,,,27.30,,,,,,,,,,
"       (2019 WN2)",1.288,0.2221,2.00,54.22,19.59,1.002,1.57,1.46,97,5,30,,,27.60,,,,,,,,,,
"       (2019 XL3)",0.8714,0.1443,23.63,262.81,19.48,0.746,1.00,0.813,3,5,31,,,27.00,,,,,,,,,,
"       (2019 YC2)",0.9605,0.0623,9.99,88.16,238.10,0.901,1.02,0.941,3,5,29,,,26.80,,,,,,,,,,
"       (2019 YF4)",1.263,0.2149,0.21,260.00,216.78,0.991,1.53,1.42,38,4,96,0,1,27.00,,,,,,,,,,
"       (2020 AC)",0.954,0.1108,9.38,280.04,295.75,0.848,1.06,0.932,3,4,93,,,26.70,,,,,,,,,,
"       (2020 BK3)",1.158,0.3169,9.82,120.38,280.04,0.791,1.53,1.25,28,5,103,,,26.90,,,,,,,,,,
"       (2020 BZ4)",0.9454,0.2810,6.07,124.89,121.26,0.680,1.21,0.919,7,5,24,,,27.60,,,,,,,,,,
"       (2020 BL11)",0.9893,0.0089,5.91,308.01,289.62,0.981,1.00,0.984,7,3,25,,,27.80,,,,,,,,,,
"       (2020 CF2)",1.195,0.1900,1.15,329.59,141.72,0.968,1.42,1.31,42,5,116,,,27.60,,,,,,,,,,
"       (2020 DC)",1.595,0.3726,0.95,173.44,344.78,1.001,2.19,2.01,1516,0,131,,,26.73,,,,,,,,,,
"       (2020 FF4)",1.029,0.0415,6.76,181.79,57.54,0.986,1.07,1.04,3,5,78,,,27.90,,,,,,,,,,
"       (2020 FL4)",1.307,0.2206,5.53,14.21,200.79,1.018,1.59,1.49,1099,1,49,,,26.96,,,,,,,,,,
"       (2020 GE1)",0.994,0.0856,7.74,17.51,72.35,0.909,1.08,0.991,12,4,90,,,27.10,,,,,,,,,,
"       (2020 GX2)",0.9105,0.1969,17.14,204.96,218.97,0.731,1.09,0.869,7,5,48,,,26.50,,,,,,,,,,
"       (2020 HU2)",1.52,0.3303,4.97,215.19,18.51,1.018,2.02,1.87,18,5,88,0,1,26.59,,,,,,,,,,
"       (2020 HF4)",1.018,0.0243,4.83,38.80,31.23,0.993,1.04,1.03,12,5,28,,,27.40,,,,,,,,,,
"       (2020 HE5)",1.008,0.0735,7.25,210.85,254.25,0.934,1.08,1.01,7,5,35,,,27.70,,,,,,,,,,
"       (2020 HJ6)",2.527,0.6839,0.95,52.58,227.15,0.799,4.26,4.02,9,4,42,1,1,26.70,,,,,,,,,,
"       (2020 HT7)",1.29,0.2185,4.95,215.32,10.90,1.008,1.57,1.47,8,5,131,,,26.90,,,,0.012722,,,,,,
"       (2020 HD10)",2.179,0.5404,13.05,41.89,197.60,1.001,3.36,3.22,2,5,46,0,1,27.30,,,,,,,,,,
"       (2020 JF1)",1.837,0.4592,11.66,232.84,24.36,0.993,2.68,2.49,1,4,42,2,1,27.10,,,,,,,,,,
"       (2020 KZ2)",1.014,0.0325,7.15,64.16,2.72,0.981,1.05,1.02,8,5,39,,,27.70,,,,,,,,,,
"       (2020 KQ7)",0.9711,0.1124,2.15,112.01,284.06,0.862,1.08,0.957,29,4,29,0,1,26.50,,,,,,,,,,
"       (2020 LO)",0.9604,0.1658,9.95,253.48,241.55,0.801,1.12,0.941,15,5,51,,,26.80,,,,,,,,,,
"       (2020 NO)",1.828,0.4617,2.20,123.58,200.21,0.984,2.67,2.47,16,4,43,0,2,26.80,,,,,,,,,,
"       (2020 OE2)",1.08,0.0850,3.39,301.12,59.37,0.988,1.17,1.12,10,5,73,0,1,27.10,,,,,,,,,,
"       (2020 OA5)",0.9006,0.1853,20.03,303.50,165.03,0.734,1.07,0.855,1,5,36,,,26.90,,,,,,,,,,
"       (2020 PP1)",1.004,0.0706,5.97,139.79,43.53,0.933,1.08,1.01,1820,0,59,,,26.70,,,,,,,,,,
"       (2020 RA7)",0.969,0.1968,2.12,181.46,54.83,0.778,1.16,0.954,11,4,84,,,27.00,,,,,,,,,,
"       (2020 SP)",1.024,0.0358,7.09,349.74,67.17,0.987,1.06,1.04,171,3,32,,,27.10,,,,,,,,,,
"       (2020 SQ)",1.052,0.2109,3.85,177.01,277.04,0.831,1.27,1.08,567,2,52,,,27.26,,,,,,,,,,
"       (2020 SN4)",0.9429,0.2278,7.33,0.82,234.16,0.728,1.16,0.916,3,5,30,,,26.60,,,,,,,,,,
"       (2020 SX6)",1.267,0.2180,0.86,181.12,156.33,0.990,1.54,1.43,32,5,51,,,27.11,,,,,,,,,,
"       (2020 UA3)",0.9079,0.2391,0.65,0.89,165.54,0.691,1.12,0.865,20,5,41,,,26.70,,,,,,,,,,
"       (2020 VV)",1.118,0.1187,0.35,19.68,332.64,0.985,1.25,1.18,61,5,79,,,27.28,,,,,,,,,,
"       (2020 VN1)",0.9804,0.0632,3.51,43.93,254.90,0.919,1.04,0.971,500,2,146,,,27.93,,,,,,,,,,
"       (2020 VA4)",0.9847,0.1428,0.37,350.93,303.68,0.844,1.13,0.977,1188,2,69,,,27.43,,,,,,,,,,
"       (2020 VP4)",0.9342,0.1277,3.49,233.69,309.11,0.815,1.05,0.903,9,5,106,,,27.60,,,,,,,,,,
"       (2020 XF)",0.9149,0.0958,4.38,71.21,211.84,0.827,1.00,0.875,31,5,113,,,26.84,,,,,,,,,,
"       (2020 XH2)",0.9522,0.1921,1.04,218.25,101.32,0.769,1.14,0.929,9,5,32,,,27.10,,,,,,,,,,
"       (2020 XF4)",1.055,0.2247,2.99,85.82,83.78,0.818,1.29,1.08,11,5,69,,,27.57,,,,,,,,,,
"       (2020 YB3)",1.15,0.1274,2.61,104.01,327.70,1.004,1.30,1.23,48,5,39,,,26.76,,,,,,,,,,
"       (2021 AM2)",0.9752,0.0142,8.40,107.55,138.59,0.961,0.99,0.963,5,3,95,,,27.18,,,,,,,,,,
"       (2021 AP6)",1.379,0.2900,1.11,344.97,157.05,0.979,1.78,1.62,69,5,29,,,26.73,,,,,,,,,,
"       (2021 BW1)",0.883,0.1872,0.89,97.80,220.51,0.718,1.05,0.83,47,5,29,,,26.50,,,,,,,,,,
"       (2021 ER)",0.8853,0.1545,5.52,162.03,214.16,0.749,1.02,0.833,34,5,81,,,27.03,,,,,,,,,,
"       (2021 EO2)",1.456,0.3312,0.14,209.65,356.23,0.974,1.94,1.76,126,5,41,,,27.87,,,,,,,,,,
"       (2021 EJ3)",0.9239,0.0854,1.60,4.23,326.87,0.845,1.00,0.888,10,4,77,,,27.72,,,,,,,,,,
"       (2021 EM3)",1.17,0.1248,2.04,109.85,68.64,1.024,1.32,1.27,64,5,45,,,26.53,,,,,,,,,,
"       (2021 EM4)",1.084,0.1331,9.93,358.21,240.31,0.940,1.23,1.13,5,5,68,,,27.14,,,,0.0276,,,,,,
"       (2021 FD1)",2.08,0.5320,3.15,21.09,196.51,0.974,3.19,3,1113,0,30,,,26.66,,,,,,,,,,
"       (2021 GB)",0.9824,0.0361,7.51,16.97,8.30,0.947,1.02,0.974,13,3,49,,,27.01,,,,,,,,,,
"       (2021 GK1)",1.091,0.0782,1.28,236.71,1.08,1.006,1.18,1.14,177,2,120,,,27.02,,,,,,,,,,
"       (2021 GV2)",1.346,0.3158,3.80,193.63,311.90,0.921,1.77,1.56,34,5,94,,,27.65,,,,,,,,,,
"       (2021 GQ10)",0.98,0.0590,11.90,204.04,242.73,0.922,1.04,0.97,6,4,105,,,26.60,,,,0.0053617,,,,,,
"       (2021 HO2)",0.9522,0.1046,11.65,207.89,137.32,0.853,1.05,0.929,2,5,23,,,27.90,,,,,,,,,,
"       (2021 JB)",0.931,0.2875,6.68,42.74,51.95,0.663,1.20,0.898,7,4,41,,,26.69,,,,,,,,,,
"       (2021 JY5)",1.04,0.0884,2.19,233.76,79.10,0.948,1.13,1.06,241,3,60,,,27.45,,,,,,,,,,
"       (2021 LK)",0.945,0.2142,7.20,76.67,300.22,0.743,1.15,0.919,18,4,25,,,26.75,,,,,,,,,,
"       (2021 LD6)",0.9885,0.0999,0.77,100.64,288.71,0.890,1.09,0.983,37,3,41,,,27.20,,,,,,,,,,
"       (2021 LV6)",1.427,0.2836,2.48,104.86,159.43,1.022,1.83,1.7,29,5,58,,,26.51,,,,,,,,,,
"       (2021 MU)",1.166,0.1768,1.20,266.78,306.87,0.960,1.37,1.26,29,5,38,,,27.40,,,,,,,,,,
"       (2021 PR16)",1.111,0.0827,1.33,13.59,36.55,1.020,1.20,1.17,2601,0,41,,,26.53,,,,,,,,,,
"       (2021 QV1)",0.8652,0.4077,5.97,331.52,227.92,0.512,1.22,0.805,10,5,27,,,26.61,,,,,,,,,,
"       (2021 RZ3)",1.013,0.0534,1.67,343.03,243.28,0.959,1.07,1.02,30,4,58,,,27.33,,,,,,,,,,
"       (2021 RR14)",1.065,0.0990,0.54,66.86,214.09,0.959,1.17,1.1,58,4,74,,,26.85,,,,,,,,,,
"       (2021 SF1)",1.172,0.1677,0.79,204.31,213.24,0.975,1.37,1.27,152,4,53,,,27.19,,,,,,,,,,
"       (2021 SU1)",0.8508,0.2494,1.11,349.93,223.56,0.639,1.06,0.785,64,5,62,,,26.57,,,,,,,,,,
"       (2021 SK5)",1.257,0.1689,2.71,200.33,201.64,1.045,1.47,1.41,60,5,44,,,26.82,,,,,,,,,,
"       (2021 TC4)",0.9856,0.0576,9.92,195.60,21.97,0.929,1.04,0.979,13,5,34,,,26.54,,,,,,,,,,
"       (2021 TO8)",0.891,0.1512,19.48,195.72,13.41,0.756,1.03,0.841,,5,14,,,27.89,,,,,,,,,,
"       (2021 US1)",1.223,0.1956,1.29,220.98,203.09,0.984,1.46,1.35,74,3,181,,,27.70,,,,0.03307,,,,,,
"       (2021 UF4)",1.739,0.4354,0.42,53.35,11.71,0.982,2.50,2.29,48,5,112,,,27.07,,,,,,,,,,
"       (2021 VF11)",1.191,0.1338,1.60,84.18,340.90,1.032,1.35,1.3,69,5,30,,,27.24,,,,,,,,,,
"       (2021 WH2)",0.9463,0.1720,10.86,65.51,121.00,0.783,1.11,0.92,1,5,24,,,28.00,,,,,,,,,,
"       (2022 AT2)",1.453,0.3364,6.15,113.62,22.68,0.964,1.94,1.75,62,5,47,,,26.95,,,,,,,,,,
"       (2022 BP4)",0.9147,0.1667,13.78,310.41,308.43,0.762,1.07,0.875,2,5,66,,,27.75,,,,,,,,,,
"       (2022 CE)",1.344,0.2796,2.73,132.67,335.07,0.968,1.72,1.56,11,5,58,,,27.95,,,,,,,,,,
"       (2022 CW)",2.006,0.5071,5.55,137.64,9.01,0.989,3.02,2.84,14,5,66,,,26.92,,,,,,,,,,
"       (2022 CA1)",0.9097,0.1518,0.50,39.48,319.01,0.772,1.05,0.868,32,5,90,,,27.31,,,,,,,,,,
"       (2022 CV5)",1.169,0.1536,5.58,142.61,7.90,0.990,1.35,1.26,5,5,114,,,27.71,,,,0.054775,,,,,,
"       (2022 DJ1)",0.8727,0.1807,2.82,332.44,38.39,0.715,1.03,0.815,4,5,51,,,27.57,,,,,,,,,,
"       (2022 DD2)",1.108,0.0659,2.43,3.66,130.71,1.035,1.18,1.17,37,5,42,,,26.66,,,,,,,,,,
"       (2022 EL5)",0.9444,0.1093,1.55,10.72,308.33,0.841,1.05,0.918,33,5,99,,,27.11,,,,,,,,,,
