Event,Radiant Azimuth,Radiant Zenith Angle,RA_App,Dec_app,x,y,z,dot,Radiant Diff,,,Delta_Rad,,a,e,inc,W,w,q,Q,Tj,En,Mass,D,Speed,DV,Height ,DH,Fireball,Meteorite,Date,Length (km),Begin Height (km),End Height (km),Notes,,Ref
,,,,,,,,,,Delta Az,Delta Z,,,,,,,,,,,,,,,,,,Type,Type,,,,,,,
Units,degs,degs,degs,degs,,,,,degs,,rtd=,57.2957795785523,0.0174532925,(AU),,degs,degs,degs,(AU),(AU),,(kT),(kg),(m),(km/s),(km/s),(km),(km),(PE),,,,,,,,
Almahata Sitta ,281.7,70,326.85,-1,0.190557719769292,-0.920168449849518,0.342020144637508,0.999484806342942,1.8,,,,,1.31,0.31,2.5,194.1,234.5,0.904,1.72,4.93,0.92,5.00E+04,3.1,12.4,,37,,IIIa,Euc/Mx,,,,,imputed length,,Jen et al (2009)
,281.3,71.8,,,0.186143355320698,-0.931556519540374,0.312334919872525,,,-0.399999999999977,1.8,1.80474228723746,,1.64,0.43,3.9,14.1,36.3,0.94,2.35,4.2,1,4.70E+04,3,13.3,0.9,38.9,1.9,,,2008-10-07,93.5617408052188,65,33,changed from original value of 249.5 assuming sign error typo in CNEOS data (vz = 3.8 -> -3.8),,
Buzzard Coulee ,348.6,22.83,299.99,74.97,0.380343469659071,-0.0766906987445029,0.921660122720832,0.848923119155808,31.9,,,,,1.23,0.22,25.5,238.9,212,0.959,1.5,5.09,0.31,8.00E+03,1.7,18,,31,,I,H4,,,,,,,Milley et al (2010)
,330.6,53.05,,,0.696239564677234,-0.392310838765319,0.601117853973169,,,-18,30.22,33.1770910550751,,0.79,0.26,10.3,238.93,3.2,0.58,0.99,7.4,0.41,2.06E+04,2.3,12.9,-5.1,28.2,-2.8,,,2008-11-21,54.3,81,12.7,,,
Chelyabinsk ,103.5,71.45,,,-0.221317033296923,0.921851796291423,0.318132105338216,0.997131422311731,4.3,,,,,1.72,0.571,5,326.46,107.7,0.738,2.7,3.97,500,1.20E+07,19,19,,30,,II,LL5,,,,,,,Borovicka et al (2013)
,99.9,74.1,,,-0.165351316095152,0.947420333315841,0.273959220113692,,,-3.59999999999999,2.64999999999999,2.85518742258612,,1.71,0.56,4.1,326.41,109.7,0.75,2.67,3.99,440,1.10E+07,18,18.6,-0.399999999999999,23,-7,,,2013-02-15,222.7,95.1,12.6,,,
Kosice ,297.14,56.3,120.95,33.45,0.379509413972819,-0.740351446948894,0.554844428382124,0.786423235130168,38.1,,,,,2.71,0.647,2,340.07,204.2,0.957,4.46,3.02,0.13,3.50E+03,1.2,15,,36,,II,H5,,,,,imputed length,,"Borovicka et al. 2013. The Kosice meteorite fall: Atmospheric trajectory, fragmentation, and orbit, Meteoritics and Planetary Science, 48, 1757-1779."
,257.6,27.14,,,-0.097955017982277,-0.445524960916557,0.889894557603536,,,-39.54,-29.16,40.5109311316333,,2.7,0.65,3.2,340.08,204,0.957,4.44,3.03,0.44,1.60E+04,2,15.1,0.0999999999999996,37,1,,,2010-02-28,91.7374267127706,68.3,17.4,check begin height w/ lightcurve analysis,,
